ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH
2023-04-17 08:01:07,31.204788,48.78828,65.759735,120.82274,127.69534,403.01038,254.44885,176.18248,253.65985,187.11627
2023-04-17 08:01:08,31.210978,48.794006,65.81314,120.140236,127.10329,402.66663,254.28073,176.33673,253.66626,187.21974
2023-04-17 08:01:09,31.20725,48.79671,65.60899,119.46676,125.98998,402.0503,254.27567,176.73985,253.50952,187.17247
2023-04-17 08:01:10,31.205957,48.79844,65.70351,118.586845,124.99633,401.98584,254.22931,176.94118,253.40424,187.17668
2023-04-17 08:01:11,31.21396,48.829716,66.61887,127.113754,138.41553,406.6133,258.47272,175.07259,255.20511,188.83104
2023-04-17 08:01:12,31.216084,48.830063,66.625374,126.23013,136.79253,406.2316,257.66403,175.27077,254.9399,188.73813
2023-04-17 08:01:13,31.21734,48.82464,66.39305,125.05104,134.79057,406.05325,257.09814,175.55515,254.66333,188.88837
2023-04-17 08:01:14,31.216251,48.83147,66.26234,123.92652,132.8655,405.60916,256.44876,175.76,254.47772,188.71979
2023-04-17 08:01:15,31.21711,48.82199,66.12526,122.881424,130.98987,405.33994,255.8138,175.61804,254.35278,188.76216
2023-04-17 08:01:16,31.21183,48.820614,66.1328,122.072266,129.57635,404.7939,255.72159,175.96732,254.10297,188.77892
2023-04-17 08:01:17,31.213184,48.819347,65.97511,121.17305,128.07788,404.46768,255.58777,176.43047,254.13515,188.7625
2023-04-17 08:01:18,31.219397,48.8252,66.02496,120.50527,127.498924,404.13495,255.42471,176.5795,254.14232,188.86392
2023-04-17 08:01:19,31.215662,48.82809,65.82633,119.84347,126.408646,403.5409,255.41714,176.97122,253.98877,188.81577
2023-04-17 08:01:20,31.214384,48.82991,65.92086,118.97807,125.42385,403.48703,255.37233,177.171,253.88602,188.81816
2023-04-17 08:01:21,31.225147,48.853046,66.822334,127.31157,138.58098,408.08533,259.4868,175.29767,255.6391,190.42657
2023-04-17 08:01:22,31.227255,48.85349,66.823074,126.43616,136.97592,407.70316,258.69388,175.49922,255.37721,190.33228
2023-04-17 08:01:23,31.228508,48.84816,66.59051,125.273125,134.99664,407.52158,258.13892,175.78276,255.10384,190.4804
2023-04-17 08:01:24,31.227407,48.85502,66.45548,124.16458,133.10036,407.07727,257.4973,175.98535,254.91994,190.31056
2023-04-17 08:01:25,31.22827,48.84569,66.31932,123.13827,131.26152,406.80756,256.8706,175.84761,254.79765,190.35155
2023-04-17 08:01:26,31.223,48.844448,66.32535,122.34623,129.88225,406.26605,256.78348,176.19814,254.55005,190.36583
2023-04-17 08:01:27,31.224325,48.843273,66.16623,121.459885,128.4125,405.93945,256.6584,176.66634,254.58669,190.34937
2023-04-17 08:01:28,31.23056,48.84919,66.2097,120.80818,127.85341,405.6068,256.50378,176.81754,254.59541,190.44997
2023-04-17 08:01:29,31.226822,48.852177,66.014595,120.15924,126.79018,405.01938,256.49802,177.20587,254.44417,190.40135
2023-04-17 08:01:30,31.225561,48.85405,66.107315,119.30942,125.81991,404.96484,256.45947,177.40887,254.34538,190.40334
2023-04-17 08:01:31,31.23342,48.883392,67.003235,127.52121,138.78821,409.52667,260.55664,175.5178,255.9993,191.95357
2023-04-17 08:01:32,31.235512,48.884045,67.00393,126.65635,137.19925,409.14133,259.78955,175.72226,255.74837,191.86029
